cell,model,tier,family,params_b,layer_pct,layer_index,n_train,n_cal,n_test,base_rate,auroc_train,auroc_cal,auroc_test,auroc_null_mean,auroc_null_p95,beats_null,auroc_surface,beats_surface,nonfinite_frac,meets_gate
qwen2.5-1.5b-instruct__C2,qwen2.5-1.5b-instruct,C2,reasoning,1.54,25,7,600,200,200,0.38666666666666666,0.9991800974512743,0.8006220506220506,0.7441152597402597,0.5213052338052339,0.6096203346203347,True,0.6314350064350064,True,0.0,True
qwen2.5-1.5b-instruct__C2,qwen2.5-1.5b-instruct,C2,reasoning,1.54,50,14,600,200,200,0.38666666666666666,1.0,0.754075504075504,0.7036323051948052,0.5152456027456027,0.5856713856713858,True,0.6314350064350064,True,0.0,True
qwen2.5-1.5b-instruct__C2,qwen2.5-1.5b-instruct,C2,reasoning,1.54,75,21,600,200,200,0.38666666666666666,1.0,0.7916130416130416,0.682325487012987,0.5151598026598025,0.5960478335478335,True,0.6314350064350064,True,0.0,True
qwen2.5-1.5b-instruct__C2,qwen2.5-1.5b-instruct,C2,reasoning,1.54,100,28,600,200,200,0.38666666666666666,1.0,0.7547190047190047,0.6502637987012987,0.5332421707421708,0.6022468897468898,True,0.6314350064350064,True,0.0,True
qwen2.5-3b-instruct__R1,qwen2.5-3b-instruct,R1,retrieval,3.09,0,0,600,200,200,0.3883333333333333,0.510899182561308,0.5082644628099173,0.516,0.5,0.5082644628099173,False,0.8217909823203264,False,0.0,False
qwen2.5-3b-instruct__R1,qwen2.5-3b-instruct,R1,retrieval,3.09,25,9,600,200,200,0.3883333333333333,0.9993801966998398,0.8285385500575374,0.87264,0.5095302855947275,0.6095669003033791,True,0.8217909823203264,True,0.0,True
qwen2.5-3b-instruct__R1,qwen2.5-3b-instruct,R1,retrieval,3.09,50,18,600,200,200,0.3883333333333333,0.9999883055981101,0.8513442828747777,0.8598399999999999,0.5100167381525263,0.5755413746207761,True,0.8217909823203264,True,0.0,True
qwen2.5-3b-instruct__R1,qwen2.5-3b-instruct,R1,retrieval,3.09,75,27,600,200,200,0.3883333333333333,1.0,0.9108693377968408,0.8616533333333334,0.5066560309655822,0.5778847159744742,True,0.8217909823203264,True,0.0,True
qwen2.5-3b-instruct__R1,qwen2.5-3b-instruct,R1,retrieval,3.09,100,36,600,200,200,0.3883333333333333,1.0,0.8836698399414165,0.8692266666666668,0.4855424207553091,0.5726488126373052,True,0.8217909823203264,True,0.0,True
qwen2.5-3b-instruct__C1,qwen2.5-3b-instruct,C1,reasoning,3.09,0,0,600,200,200,0.395,0.5034813032511536,0.505764411027569,0.49065420560747663,0.4983784461152882,0.505764411027569,False,0.5797493734335839,False,0.0,False
qwen2.5-3b-instruct__C1,qwen2.5-3b-instruct,C1,reasoning,3.09,25,9,600,200,200,0.395,1.0,0.6664160401002506,0.7038488594111145,0.503077694235589,0.5472406015037594,True,0.5797493734335839,True,0.0,True
qwen2.5-3b-instruct__C1,qwen2.5-3b-instruct,C1,reasoning,3.09,50,18,600,200,200,0.395,1.0,0.696140350877193,0.716711888252437,0.4939573934837093,0.5754611528822056,True,0.5797493734335839,True,0.0,True
qwen2.5-3b-instruct__C1,qwen2.5-3b-instruct,C1,reasoning,3.09,75,27,600,200,200,0.395,1.0,0.6842606516290726,0.6366194352326399,0.4986040100250627,0.5512280701754385,True,0.5797493734335839,True,0.0,True
qwen2.5-3b-instruct__C1,qwen2.5-3b-instruct,C1,reasoning,3.09,100,36,600,200,200,0.395,0.9999767525659355,0.6973934837092732,0.6593307205305999,0.4986992481203008,0.5778646616541354,True,0.5797493734335839,True,0.0,True
qwen2.5-3b-instruct__C2,qwen2.5-3b-instruct,C2,reasoning,3.09,0,0,600,200,200,0.35833333333333334,0.5113742071881607,0.5,0.5039370078740157,0.5,0.5,False,0.5910553410553411,False,0.0,False
qwen2.5-3b-instruct__C2,qwen2.5-3b-instruct,C2,reasoning,3.09,25,9,600,200,200,0.35833333333333334,0.999975838115373,0.7045259545259546,0.6473951030093841,0.5086872586872587,0.5601136851136852,True,0.5910553410553411,True,0.0,True
qwen2.5-3b-instruct__C2,qwen2.5-3b-instruct,C2,reasoning,3.09,50,18,600,200,200,0.35833333333333334,0.999951676230746,0.6710639210639211,0.6140653651170316,0.5036304161304161,0.5647951522951522,True,0.5910553410553411,True,0.0,True
qwen2.5-3b-instruct__C2,qwen2.5-3b-instruct,C2,reasoning,3.09,75,27,600,200,200,0.35833333333333334,1.0,0.6810381810381811,0.5147233308165247,0.49523809523809526,0.5666988416988418,True,0.5910553410553411,True,0.0,True
qwen2.5-3b-instruct__C2,qwen2.5-3b-instruct,C2,reasoning,3.09,100,36,600,200,200,0.35833333333333334,1.0,0.6544401544401545,0.5326286269010894,0.5098670098670098,0.5909695409695411,True,0.5910553410553411,True,0.0,True
qwen2.5-7b-instruct__R1,qwen2.5-7b-instruct,R1,retrieval,7.62,0,0,600,200,200,0.45166666666666666,0.5239011204701713,0.507183908045977,0.48868709415584416,0.5008004926108373,0.5158045977011495,False,0.7989018883415435,False,0.0,False
