model,tier,qid,split,verbal_raw,correct,behavioral_raw,n_clusters,n_valid,internal_raw,best_layer_pct,verbal_cal,behavioral_cal,internal_cal,family,params_b,canonical_format
qwen2.5-1.5b-instruct,C1,C1-18,train,0.5,0,0.20334237554869505,7.0,10.0,0.9635289311408997,25.0,0.49339821294041164,0.34375,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-177,test,,0,0.3065735963827292,4.0,6.0,0.0004597231454681605,25.0,,0.34375,0.14285714285714285,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-726,train,0.5,0,0.30102999566398136,6.0,10.0,0.05858778953552246,25.0,0.49339821294041164,0.34375,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-863,train,0.5,1,0.8588182584953924,2.0,10.0,0.9329805374145508,25.0,0.49339821294041164,0.8823529411764706,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-773,calibration,0.5,1,1.0,1.0,10.0,0.950204610824585,25.0,0.49339821294041164,0.8888888888888888,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-53,train,0.5,0,0.21030991785715247,6.0,9.0,0.9880527257919312,25.0,0.49339821294041164,0.34375,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-986,train,0.5,1,0.3505165297619208,5.0,9.0,0.9793465733528137,25.0,0.49339821294041164,0.375,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1175,test,0.5,0,0.3437342109109689,4.0,7.0,0.7060672044754028,25.0,0.49339821294041164,0.34375,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-513,train,0.5,0,0.5270967493629826,4.0,10.0,0.6739780902862549,25.0,0.49339821294041164,0.6250000000000006,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-552,train,0.5,1,0.3494850021680095,6.0,10.0,0.8126195073127747,25.0,0.49339821294041164,0.34375,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-93,test,0.5,1,0.4470798904762032,4.0,9.0,0.2779376208782196,25.0,0.49339821294041164,0.625,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1129,train,,0,1.0,1.0,1.0,8.91339002684628e-20,25.0,,0.8888888888888888,0.0,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-933,calibration,0.5,1,0.4668907502301862,5.0,10.0,0.997364342212677,25.0,0.49339821294041164,0.625,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-693,train,0.5,0,0.12041199826559246,8.0,10.0,0.3217357397079468,25.0,0.49339821294041164,0.2,0.375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1087,calibration,0.5,0,0.28627275283179765,6.0,10.0,0.962279736995697,25.0,0.49339821294041164,0.34375,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1221,train,0.5,0,0.722471989593555,3.0,10.0,0.9906873106956482,25.0,0.49339821294041164,0.7027027027027027,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-274,train,0.5,0,0.4668907502301862,5.0,10.0,0.98381108045578,25.0,0.49339821294041164,0.625,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-820,calibration,0.5,1,0.5915686280099798,4.0,10.0,0.5390293598175049,25.0,0.49339821294041164,0.7027027027027027,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1200,calibration,0.5,1,0.8412396714286099,2.0,9.0,0.5967680811882019,25.0,0.49339821294041164,0.8823529411764706,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-31,train,0.5,0,0.1981203125901445,6.0,8.0,7.339112926274538e-07,25.0,0.49339821294041164,0.250000000000002,0.14285714285714285,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1048,train,0.5,0,0.0,8.0,8.0,0.03062065690755844,25.0,0.49339821294041164,0.0588235294117655,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-131,train,0.5,0,0.4096910013008056,5.0,10.0,0.9967194199562073,25.0,0.49339821294041164,0.625,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-291,test,0.5,1,0.38396037294708374,5.0,10.0,0.023365333676338196,25.0,0.49339821294041164,0.375,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-625,test,0.5,1,1.0,1.0,10.0,0.2896363437175751,25.0,0.49339821294041164,0.8888888888888888,0.375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-940,calibration,0.5,1,0.8588182584953924,2.0,10.0,0.791919469833374,25.0,0.49339821294041164,0.8823529411764706,0.4444444444444444,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1029,train,0.5,0,0.0,8.0,8.0,0.014928169548511505,25.0,0.49339821294041164,0.0588235294117655,0.33962264150943394,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1265,train,0.5,0,0.14020661190476824,7.0,9.0,0.9337996244430542,25.0,0.49339821294041164,0.25,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-223,calibration,0.5,1,1.0,1.0,10.0,0.9205978512763977,25.0,0.49339821294041164,0.8888888888888888,0.734375,reasoning,1.54,B
qwen2.5-1.5b-instruct,C1,C1-1257,train,0.5,1,1.0,1.0,10.0,0.9493898153305054,25.0,0.49339821294041164,0.8888888888888888,0.734375,reasoning,1.54,B
